Country Name,Country Code,FP.CPI.TOTL,IC.REG.COST.PC.ZS,BN.CAB.XOKA.GD.ZS,FS.AST.PRVT.GD.ZS,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,NE.EXP.GNFS.ZS,SP.DYN.TFRT.IN,BX.KLT.DINV.WD.GD.ZS,BM.KLT.DINV.WD.GD.ZS,NY.GDP.MKTP.CD,NY.GNP.PCAP.KD,NY.GNS.ICTR.ZS,HD.HCI.OVRL,IT.NET.USER.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SP.DYN.LE00.FE.IN,TX.MNF.TECH.ZS.UN,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SP.DYN.IMRT.IN,SP.POP.65UP.TO.ZS,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL.FE.ZS,SN.ITK.SVFI.ZS,GC.TAX.TOTL.GD.ZS,SL.UEM.TOTL.ZS
Czech Republic,CZE,113.250313563877,1,0.485656667169463,52.1687195551244,2.80200004577637,37.4980010986328,78.465183798198,1.71,3.39799845111486,2.48172905276665,244987409830.533,22037.8134563322,26.4110093613347,0.764516711235046,89.35700777,21.032600402832,63.8862991333008,82,70.9543763389556,1.12360570947245,119.1135078,2.5,19.4208768932343,137.657705257705,0.334427262299794,50.8085889327815,0,14.8864781360429,2.24300003051758
Denmark,DNK,109.517007410053,0.2,6.96727367431909,161.786297223619,2.24300003051758,18.6490001678467,55.6416285468058,1.73,0.327884742018437,0.148183458277501,355675329085.952,65569.5900464818,29.984477744064,0.770831823348999,88.88996,41.7178993225098,65.7652969360352,82.9,57.6631524104652,1.18141520744533,125.4530064,3.3,19.8129526369902,137.976565849012,0.495838925879129,50.2742027259115,1.1,32.3823178373348,4.97499990463257
Estonia,EST,119.422747189941,1.1,1.99170434608063,61.7033725876632,3.29399991035461,29.6490001678467,74.2567080764856,1.67,3.83839010432834,-0.783674756207998,30747159197.8965,19539.0410952047,29.1591867813436,0.774125277996063,82.04318678,44.9537010192871,75.1698989868164,82.7,47.3959512213751,2.05854468149193,145.4384241,2,19.6263568469749,30.4112491373361,0.348039137980543,52.8584268202066,0.9,20.8757508011836,5.36600017547607
Finland,FIN,111.192991413593,0.8,-1.65660240360974,94.1853123593315,3.71199989318848,22.3369998931885,38.5987063725787,1.41,-3.83906592585735,1.11944423657025,275893681355.892,48982.9341063146,23.5269177203268,0.814484000205994,87.03711209,27.414400100708,66.1644973754883,84.5,48.5052472581986,1.39852042457382,129.4685668,2,21.7207875455222,18.1485472672831,0.132641040791912,50.7207584853832,2,20.8390380934928,7.36100006103516
France,FRA,108.842316422953,0.7,-0.682038259080992,104.383808611646,2.50799989700317,20.2889995574951,31.7191563303394,1.88,2.1470837821754,4.52756415053772,2787863958885.49,44705.8913721057,22.7268773582271,0.755960285663605,72.23837339,29.4759998321533,60.4999008178711,85.9,65.8786801370286,2.29394279932913,108.357357,3.7,20.0346247469881,122.299437237519,0.151733988951895,51.5842404811336,0.7,24.2299805099109,9.05900001525879
Germany,DEU,111.246631485772,6.5,7.4204052199306,78.6729339158048,1.24899995326996,27.3400001525879,47.416105275433,1.57,4.2525345364798,4.49367933213216,3949548833952.94,48821.7132190952,29.3075935113521,0.763772785663605,76.07436064,39.2988014221191,64.2192001342773,83.3,73.9110343293055,1.23376875688812,129.3242137,3.3,21.4619619953309,237.30759674834,0.300526701992065,50.6603673700529,0.7,11.5059039520149,3.3840000629425
Greece,GRC,101.692133369644,1.6,-2.86447684997137,89.1834675837569,12.2679996490479,15.2480001449585,36.1292311982958,1.35,1.84536440596226,0.238180589130826,218138367444.99,23414.0555801912,12.1630753905938,0.694805860519409,20.08130004,31.790599822998,60.4261016845703,84.4,25.4595751968926,2.3852815561237,115.6669118,3.5,21.6552720778435,83.2651823118697,-0.202880238259165,50.916201905221,2.3,26.1935223578916,19.2919998168945
Hungary,HUN,117.712126417039,4.9,0.087921508748935,32.9397307497889,4.84800004959106,32.4230003356934,84.9389143286366,1.55,-41.5081972891282,-43.535356885777,157882912778.254,15985.1158211418,26.9715546946821,0.705064594745636,39.90463864,28.1079998016357,63.8700981140137,79.6,75.3444795192069,1.08207729001535,103.4451716,3.3,19.1577253832321,107.981486799956,-0.126786951652838,52.4324280334941,0.8,22.9533771484821,3.70799994468689
India,IND,167.598294647087,14.4,-2.4178196925767,50.1482634490216,43.3289985656738,24.9489994049072,19.8526514282561,2.222,1.55233647214466,0.420829153192142,2713165057513.35,2064.22285535122,31.1031230232142,0.484795808792114,84.52230206,48.869800567627,40.7943000793457,70.692,34.7731280144829,2.41903434166523,86.94256319,29.7,6.17995564947149,454.938072575247,1.03732336037888,48.0235396426684,NaN,NaN,5.32999992370605
Indonesia,IDN,146.729898360527,6.1,-2.93916096391377,38.8066121318738,29.6340007781982,22.2889995574951,20.9722205710697,2.311,1.81434414623325,0.613986570200841,1042240309412.58,4164.34209960423,31.7984908754342,0.53795725107193,74.38718292,62.7585983276367,72.1761016845703,73.748,28.7132937769141,0.716442832780161,119.3387219,20.9,5.85716561272863,147.75219008926,1.1337698607638,49.6438821889217,0.8,10.2304494777374,4.51100015640259
Ireland,IRL,105.592763329564,0.1,10.6880833004063,41.078182904831,4.76999998092651,18.8129997253418,122.32608520648,1.75,16.8644120431587,24.6579833229464,382674360766.341,59847.4501846806,34.4766192382524,0.813675343990326,91.28160849,30.1893005371094,67.250602722168,84.1,59.2370584430739,0.330585082043917,103.1710486,2.9,13.8658017012923,70.6534475250399,1.23887545258946,50.4255094845201,3.5,18.2623536331817,5.73999977111816
Italy,ITA,109.951520340534,14.1,2.47032319377526,76.9434643880464,3.75799989700317,26.1030006408691,31.4517439505479,1.29,1.89922215697008,1.91004537093544,2085764300862.27,35819.3155148726,20.8118985947231,0.752880394458771,96.02285958,34.3041000366211,63.3440017700195,85.6,54.1429850140882,1.3327023072539,137.466947,2.8,22.7516796025077,205.418372203713,-0.190063640113791,51.3766696255652,1.1,24.2504649330681,10.6099996566772
Japan,JPN,104.981438314772,7.5,3.55408947287573,169.38327678019,3.49399995803833,24.4290008544922,18.524908818909,1.42,0.496606885830636,3.19618072712188,4954806619995.19,50535.342062034,27.8371632542212,0.840709209442139,83.57717486,NaN,55.6699981689453,87.32,80.6588624181452,0.923839535738282,141.4069924,1.8,27.576369910355,347.073458415624,-0.202670345017896,51.1592591291078,0.7,11.905933830538,2.40000009536743
"Korea, Rep.",KOR,114.719274401322,14.6,4.50235111278233,141.50505852399,4.99700021743774,25.2019996643066,41.6308555017515,0.977,0.708052418356089,2.22136872675267,1720578827805.54,28165.4894666582,35.6849703802013,0.834545075893402,79.72258277,47.6200981140137,62.755500793457,85.7,74.2226784701465,2.61734363736466,129.6727883,2.8,14.4185558323969,529.358501289308,0.475334410431755,49.9168817920843,0,15.5749117280351,3.84800004959106
Latvia,LVA,113.661494917447,1.7,-0.614786322170131,36.7290116860344,6.97200012207031,23.6609992980957,61.5044199056651,1.6,1.30263810788904,-0.989998763929118,34313873284.5882,15927.272731536,22.6794115796775,0.738353431224823,97.06129871,37.6705017089844,70.1639022827148,79.7,43.3521674107368,1.97955144365229,107.3489247,3.3,20.0436203206809,30.9934705693149,-0.779138396192231,54.0101666562093,0.6,22.8884863463946,7.41200017929077
Lithuania,LTU,115.681502787888,0.5,1.52947639692775,40.5970461950621,7.18300008773804,25.7670001983643,75.6209017868972,1.63,1.62314440641028,1.52155260840501,53455170033.5194,17066.3519360562,20.3406453195407,0.726695239543915,81.65804429,17.3505992889404,62.1099014282227,80.7,42.4868133180853,1.9578488273958,163.8703457,3.3,19.7050331564608,44.7230757742448,-0.954190459209969,53.7919586473278,1.1,16.85608755171,6.14699983596802
Luxembourg,LUX,113.115843115843,1.7,4.70005877020407,106.32426825321,1.05400002002716,11.7519998550415,211.559048709607,1.38,-7.91742322558066,1.93566601037425,70919958015.5247,69338.6393569392,17.3942250131949,0.692368566989899,65.77263448,37.5411987304688,59.9851989746094,84.6,46.6076623144588,0.611662609350006,132.1649331,2.3,14.1831541841472,250.185185185185,1.92883751398765,49.5392589748512,0.9,26.5042683404659,5.58500003814697
Malta,MLT,111.619613085975,7.1,11.0999942557429,76.7626535460146,1.03100001811981,18.621000289917,144.928361623778,1.23,32.5296518739548,-45.965650324024,14603581712.3288,26273.7440429317,30.523624407485,0.708490550518036,92.56756757,43.9990005493164,71.201301574707,84.6,46.4234780332678,0.487919470212535,140.2039395,6.1,20.3493242997122,1514.46875,3.49195540302534,49.8733082150459,0.8,26.2282541415028,3.71600008010864
Mexico,MEX,136.57664871233,16.2,-1.88448979284422,34.5956536817151,12.8100004196167,26.1280002593994,39.2893057052491,2.129,3.16575262740965,0.951143322307711,1220699479845.98,10137.1974051535,23.6918456351952,0.611657083034515,77.54173454,56.9105987548828,63.1497993469238,77.844,81.000571342817,0.538883865680492,95.2316028,12.6,7.22368498087198,64.9146264050001,1.12642114890216,51.0892808319391,11.5,13.0829255322402,3.28299999237061
Netherlands,NLD,112.933662096136,4.2,10.837388293296,105.478664511736,2.09800004959106,16.1709995269775,84.321978608313,1.59,-26.1826651272039,-24.7779149627781,914104847814.117,55565.6955675613,31.851992564816,0.803038597106934,74.66096815,43.8498001098633,69.3793029785156,83.4,55.6217203022281,1.24160710770927,123.7312099,3.4,19.1961926333387,511.475927574948,0.583933408920832,50.2209435647813,1.7,23.0359193787393,3.82999992370605
Poland,POL,111.625348393722,11.8,-0.991289425035841,52.5604108503735,9.61800003051758,31.8169994354248,55.4530577982344,1.46,2.84391057213461,0.324979419754018,587114101392.696,15995.97615529,19.7134306666415,0.760222196578979,70.68127793,17.1695003509521,58.3302001953125,81.7,54.0575513148037,1.97769196045967,134.7484225,3.8,17.5178167625452,124.023482151605,-0.000200132782838,51.5307073794516,0,17.4019561608692,3.84500002861023
Portugal,PRT,110.25151180504,2,0.379940301856613,97.4103584399582,6.04400014877319,24.8470001220703,43.7056393414151,1.42,3.23932907151029,0.600723707577026,241274628877.362,23429.0526249051,18.0861180326865,0.783440172672272,80.86472187,49.9457015991211,74.8666000366211,84.5,43.0692818851207,1.77952935913835,115.6330424,3,21.9538575375873,112.2619412173,-0.160104021146769,52.7119617105452,2.9,22.7551770073532,6.99300003051758
Romania,ROU,119.216932828292,0.4,-4.34681222602876,25.7093382338118,22.306999206543,30.0310001373291,41.5865320001075,1.76,3.03921397105286,0.622215767155736,241626953521.413,11358.3243588118,18.5208375194874,0.594410121440887,93.31000185,31.3206996917725,63.7723999023438,79.2,61.8630446654601,1.93420907358469,116.0354133,6.2,18.3387013938296,84.633801286509,-0.587536174086448,51.343743063071,3.4,14.5848348083488,4.18699979782104
